
Predictions were generated on 15-Jan-2025 at 19:52:25 using OpenFAST, compiled as a DLL S-Function for Simulink as a 64-bit application using double precision at commit v3.3.0-1-g4e85fa62-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: IEA 15 MW offshore reference model monopile configuration

Time	Wind1VelX	Wind1VelY	BldPitch1	GenSpeed	TTDspFA	TTDspSS	YawBrTAxp	YawBrTAyp	GenPwr	GenTq
(s)	(m/s)	(m/s)	(deg)	(rpm)	(m)	(m)	(m/s^2)	(m/s^2)	(kW)	(kN-m)
   10.0000	 1.800E+01	 0.000E+00	 1.547E+01	 9.654E+00	-2.811E-01	-1.342E-02	 1.199E-01	-3.761E-03	-1.055E-01	-9.990E-02
   10.2000	 1.800E+01	 0.000E+00	 1.547E+01	 9.663E+00	-2.850E-01	-1.364E-02	 1.295E-01	-8.504E-02	-1.056E-01	-9.990E-02
   10.4000	 1.800E+01	 0.000E+00	 1.547E+01	 9.665E+00	-2.839E-01	-1.710E-02	 9.374E-02	-1.130E-01	-1.056E-01	-9.990E-02
   10.6000	 1.800E+01	 0.000E+00	 1.547E+01	 9.667E+00	-2.790E-01	-2.456E-02	 4.303E-02	 1.964E-03	-1.056E-01	-9.990E-02
   10.8000	 1.800E+01	 0.000E+00	 1.547E+01	 9.675E+00	-2.724E-01	-3.176E-02	 6.345E-03	 1.649E-01	-1.057E-01	-9.990E-02
   11.0000	 1.800E+01	 0.000E+00	 1.547E+01	 9.681E+00	-2.655E-01	-3.304E-02	-1.771E-04	 1.427E-01	-1.058E-01	-9.990E-02
   11.2000	 1.800E+01	 0.000E+00	 1.547E+01	 9.690E+00	-2.585E-01	-2.921E-02	-1.644E-02	-4.472E-02	-1.059E-01	-9.990E-02
   11.4000	 1.800E+01	 0.000E+00	 1.547E+01	 9.689E+00	-2.523E-01	-2.695E-02	-4.572E-02	-1.799E-01	-1.059E-01	-9.990E-02
   11.6000	 1.800E+01	 0.000E+00	 1.547E+01	 9.689E+00	-2.479E-01	-3.143E-02	-5.556E-02	-1.760E-01	-1.059E-01	-9.990E-02
   11.8000	 1.800E+01	 0.000E+00	 1.547E+01	 9.692E+00	-2.455E-01	-4.231E-02	-3.718E-02	 6.971E-03	-1.059E-01	-9.990E-02
   12.0000	 1.800E+01	 0.000E+00	 1.547E+01	 9.694E+00	-2.446E-01	-5.290E-02	 5.215E-04	 1.939E-01	-1.059E-01	-9.990E-02
   12.2000	 1.800E+01	 0.000E+00	 1.547E+01	 9.701E+00	-2.437E-01	-5.638E-02	 2.097E-02	 2.025E-01	-1.060E-01	-9.990E-02
   12.4000	 1.800E+01	 0.000E+00	 1.547E+01	 9.706E+00	-2.422E-01	-5.225E-02	-7.337E-03	 6.362E-02	-1.060E-01	-9.990E-02
   12.6000	 1.800E+01	 0.000E+00	 1.547E+01	 9.706E+00	-2.410E-01	-4.558E-02	-6.118E-02	-6.947E-02	-1.060E-01	-9.990E-02
   12.8000	 1.800E+01	 0.000E+00	 1.547E+01	 9.709E+00	-2.423E-01	-4.111E-02	-9.873E-02	-4.722E-02	-1.061E-01	-9.990E-02
   13.0000	 1.800E+01	 0.000E+00	 1.547E+01	 9.709E+00	-2.472E-01	-3.834E-02	-7.297E-02	 2.830E-02	-1.061E-01	-9.990E-02
   13.2000	 1.800E+01	 0.000E+00	 1.547E+01	 9.716E+00	-2.550E-01	-3.476E-02	-9.898E-03	 2.116E-02	-1.062E-01	-9.990E-02
   13.4000	 1.800E+01	 0.000E+00	 1.547E+01	 9.717E+00	-2.632E-01	-3.051E-02	 3.901E-02	-4.019E-02	-1.062E-01	-9.990E-02
   13.6000	 1.800E+01	 0.000E+00	 1.547E+01	 9.716E+00	-2.699E-01	-2.786E-02	 5.193E-02	-9.764E-02	-1.061E-01	-9.990E-02
   13.8000	 1.800E+01	 0.000E+00	 1.547E+01	 9.721E+00	-2.747E-01	-2.879E-02	 3.268E-02	-5.885E-02	-1.062E-01	-9.990E-02
   14.0000	 1.800E+01	 0.000E+00	 1.547E+01	 9.722E+00	-2.782E-01	-3.164E-02	 1.350E-02	 9.486E-02	-1.062E-01	-9.990E-02
   14.2000	 1.800E+01	 0.000E+00	 1.547E+01	 9.727E+00	-2.811E-01	-3.097E-02	 1.515E-02	 1.771E-01	-1.063E-01	-9.990E-02
   14.4000	 1.800E+01	 0.000E+00	 1.547E+01	 9.734E+00	-2.833E-01	-2.375E-02	 1.962E-02	 1.011E-01	-1.063E-01	-9.990E-02
   14.6000	 1.800E+01	 0.000E+00	 1.547E+01	 9.732E+00	-2.848E-01	-1.298E-02	 1.799E-02	-1.062E-01	-1.063E-01	-9.990E-02
   14.8000	 1.800E+01	 0.000E+00	 1.547E+01	 9.731E+00	-2.857E-01	-6.111E-03	-1.506E-03	-2.235E-01	-1.063E-01	-9.990E-02
   15.0000	 1.800E+01	 0.000E+00	 1.547E+01	 9.726E+00	-2.865E-01	-7.569E-03	-2.784E-03	-1.669E-01	-1.063E-01	-9.990E-02
   15.2000	 1.800E+01	 0.000E+00	 1.547E+01	 9.725E+00	-2.873E-01	-1.543E-02	 3.062E-02	-2.855E-02	-1.063E-01	-9.990E-02
   15.4000	 1.800E+01	 0.000E+00	 1.547E+01	 9.729E+00	-2.869E-01	-2.451E-02	 6.323E-02	 8.969E-02	-1.063E-01	-9.990E-02
   15.6000	 1.800E+01	 0.000E+00	 1.547E+01	 9.728E+00	-2.841E-01	-3.034E-02	 6.656E-02	 1.060E-01	-1.063E-01	-9.990E-02
   15.8000	 1.800E+01	 0.000E+00	 1.547E+01	 9.733E+00	-2.787E-01	-3.238E-02	 2.362E-02	 6.572E-03	-1.063E-01	-9.990E-02
   16.0000	 1.800E+01	 0.000E+00	 1.547E+01	 9.735E+00	-2.725E-01	-3.387E-02	-4.553E-02	-2.741E-02	-1.064E-01	-9.990E-02
   16.2000	 1.800E+01	 0.000E+00	 1.547E+01	 9.733E+00	-2.681E-01	-3.620E-02	-8.143E-02	 1.689E-02	-1.063E-01	-9.990E-02
   16.4000	 1.800E+01	 0.000E+00	 1.547E+01	 9.737E+00	-2.667E-01	-3.781E-02	-6.210E-02	 6.670E-02	-1.064E-01	-9.990E-02
   16.6000	 1.800E+01	 0.000E+00	 1.547E+01	 9.735E+00	-2.676E-01	-3.716E-02	-7.975E-03	 1.117E-02	-1.064E-01	-9.990E-02
   16.8000	 1.800E+01	 0.000E+00	 1.547E+01	 9.733E+00	-2.689E-01	-3.618E-02	 2.466E-02	-8.267E-02	-1.063E-01	-9.990E-02
   17.0000	 1.800E+01	 0.000E+00	 1.547E+01	 9.730E+00	-2.694E-01	-3.827E-02	 1.723E-02	-1.061E-01	-1.063E-01	-9.990E-02
   17.2000	 1.800E+01	 0.000E+00	 1.547E+01	 9.728E+00	-2.693E-01	-4.426E-02	 2.051E-03	-2.762E-02	-1.063E-01	-9.990E-02
   17.4000	 1.800E+01	 0.000E+00	 1.547E+01	 9.734E+00	-2.690E-01	-5.112E-02	-7.828E-03	 1.177E-01	-1.063E-01	-9.990E-02
   17.6000	 1.800E+01	 0.000E+00	 1.547E+01	 9.736E+00	-2.690E-01	-5.341E-02	-4.365E-03	 2.134E-01	-1.064E-01	-9.990E-02
   17.8000	 1.800E+01	 0.000E+00	 1.547E+01	 9.741E+00	-2.692E-01	-4.791E-02	-6.194E-03	 1.095E-01	-1.064E-01	-9.990E-02
   18.0000	 1.800E+01	 0.000E+00	 1.547E+01	 9.745E+00	-2.697E-01	-3.822E-02	-3.379E-02	-5.813E-02	-1.065E-01	-9.990E-02
